Id,Ideology,Income,Interested,Looking,Name,Occupation,Party,Relationship,Religion,Education,Ethnicity,Gender,Age
MorningWatch,?,?,in Men and Women,?,?,?,Democratic Party,In a Relationship,?,?,White,?,?
LizLennamae,Progressive,?,in Men,Friendship,?,Student,Democratic Party,Single,Christian - Catholic,?,White,?,?
Ripplux,Conservative,?,in Women,"Friendship, A Relationship",?,?,Republican Party,Single,?,?,?,?,?
nmonaco,Moderate,?,?,?,?,?,Republican Party,?,Christian - Catholic,High School,White,?,?
ss5565,Liberal,?,in Women,?,?,Student,Democratic Party,Single,?,High School,?,Male,?
Conservative12,Conservative,?,in Women,?,?,Student,Republican Party,?,Christian - Catholic,?,White,Male,15
Sarkies6590,Conservative,?,in Men,"Dating, A Relationship",?,?,Republican Party,It's Complicated,Christian,High School,Middle Eastern,Female,?
Grandbudda,Libertarian,?,in Women,Networking,?,Self-Employed,Republican Party,Married,Christian,Bachelors Degree,White,Male,?
Mharman,Conservative,?,in Women,Dating,?,Student,Republican Party,Single,Christian - Lutheran,High School,White,Male,?
Likaboss98,Conservative,Other,in Women,"Friendship, A Relationship",?,Student,Republican Party,Single,Christian - Baptist,High School,White,Male,?
ElfLady80,Conservative,?,in Men,Friendship,?,?,Republican Party,Single,Christian,High School,White,Female,?
missbailey8,Liberal,?,in Men and Women,Friendship,Bailey Private,Student,Democratic Party,Engaged,Atheist,Associates Degree,White,Female,10
JP_Hatecraft,Liberal,?,?,?,?,?,Democratic Party,?,Agnostic,?,?,?,?
MLG_Pingu,Conservative,?,in Women,?,?,?,Republican Party,Single,Christian - Latter-Day Saints,?,?,Male,?
Scorchtheblaze,Conservative,?,in Women,Friendship,?,Student,Republican Party,In a Relationship,Christian,?,White,Male,?
numberwang,Liberal,?,?,?,?,Student,Democratic Party,?,Atheist,Some College,White,Male,?
Eliteninja,Liberal,?,in Men and Women,"Friendship, Networking",?,Student,Democratic Party,Single,?,?,Asian,?,?
Gogert777,Conservative,Other,in Women,"Friendship, A Relationship",?,Medical,Republican Party,?,Agnostic,High School,White,Male,?
Titanium_Conservative1776,Conservative,?,?,?,?,Student,Republican Party,?,Christian - Catholic,High School,White,Male,?
Yes_Man,Liberal,?,?,?,?,?,Democratic Party,?,Agnostic,?,White,Male,?
giraffelover,Conservative,"Less than $25,000",in Men and Women,Friendship,?,Other,Republican Party,Single,Christian - Protestant,High School,White,?,?
Matthew51,Conservative,?,?,?,?,Student,Republican Party,?,?,Other,?,?,?
MasterLibertarian,Libertarian,"Less than $25,000",in Women,"Friendship, Dating, A Relationship, Networking",?,Student,Republican Party,Single,Christian - Catholic,High School,White,?,?
Dpowell,Conservative,?,in Women,Friendship,?,?,Republican Party,Single,Christian,High School,White,Male,10
Hematite12,Socialist,"$35,000 to $50,000",in Women,Dating,?,Student,Democratic Party,Single,Agnostic,High School,White,?,?
luciomain,Undecided,?,in Women,"Friendship, A Relationship",?,Student,Democratic Party,Single,Muslim,?,Black,Male,?
Amazingfeminist1213,?,?,in Women,"Friendship, Networking",?,Student,Democratic Party,?,Christian,?,Other,?,?
Chele72,?,?,in Men,?,?,Self-Employed,Democratic Party,Married,Pagan,?,White,Female,?
bettabreeder,Green,?,in Women,"Friendship, A Relationship",?,Student,Democratic Party,Single,Atheist,Other,White,Male,?
1Historygenius,Conservative,"Less than $25,000",in Women,"Friendship, Networking",?,Student,Republican Party,Single,Christian - Catholic,Some College,White,Male,?
DannyHay,Liberal,?,in Men and Women,?,?,Student,Democratic Party,?,Atheist,?,?,?,?
Dragonblade,Conservative,?,?,?,?,Student,Republican Party,?,Christian - Baptist,?,White,Male,?
MarkDenbow,Conservative,?,?,?,?,?,Republican Party,Married,Christian,Some College,White,?,?
AizenKnaik,Other,?,in Men and Women,Networking,?,Student,Democratic Party,Single,?,?,Asian,?,?
Snakeeyesith,Undecided,?,in Women,"Friendship, Networking",Collin Private,Student,Democratic Party,In a Relationship,Christian - Baptist,Some College,White,Male,?
Dutch_Bacon,Conservative,?,?,?,?,?,Republican Party,?,Christian - Catholic,High School,White,?,?
OhioGary,Moderate,"$35,000 to $50,000",in Women,?,Gary Private,Other,Democratic Party,Married,Christian - Assemblies of God,Graduate Degree,White,Male,?
JacuPro,Conservative,?,?,?,?,?,Republican Party,?,Christian,?,White,?,?
Shadowblade40,Conservative,?,in Women,?,?,Student,Republican Party,?,Christian - Baptist,?,White,Male,?
SpentBrass,Conservative,?,?,?,?,?,Republican Party,?,Christian - Protestant,?,White,?,?
Prescott,Liberal,?,in Men and Women,"Friendship, Networking",?,Retail,Democratic Party,Married,?,?,White,Male,?
LiberalLogic101,Liberal,Other,in Men,Friendship,?,Medical,Democratic Party,In a Relationship,Agnostic,High School,White,Female,?
patrick967,Liberal,?,in Women,Friendship,?,?,Democratic Party,Single,Atheist,High School,White,Male,?
ashleynitchals,Conservative,?,?,?,?,?,Republican Party,?,?,Some College,White,?,?
Rasheed,Moderate,?,?,?,?,Self-Employed,Democratic Party,?,Muslim,?,Black,Male,?
Depth_Valor,Conservative,?,in Women,Friendship,?,Military,Democratic Party,In a Relationship,Atheist,High School,White,?,?
miss_spock,Green,?,?,?,?,?,Democratic Party,?,?,?,?,?,?
CostasTheGreek,Conservative,?,in Women,?,?,?,Republican Party,?,Christian - Greek Orthodox,Graduate Degree,White,?,?
DebatethatJack99,Conservative,?,in Women,?,?,?,Republican Party,Single,Christian,?,White,?,?
Jbmelk,Conservative,?,in Women,?,?,?,Republican Party,Single,Atheist,?,White,?,?
Superizer,Conservative,?,in Women,Dating,?,?,Republican Party,Single,Christian,High School,White,Male,?
LiberalAgenda,Liberal,?,in Women,?,?,?,Democratic Party,?,Agnostic,High School,Other,?,?
WesleyBucher1,Conservative,?,in Men,?,?,?,Republican Party,Single,Christian - Mennonite,High School,White,?,?
Tepping,Undecided,?,in Men and Women,Friendship,?,?,Democratic Party,Other,Jewish,?,White,Female,?
Caseo7,Undecided,?,in Women,Dating,?,?,Republican Party,Single,Christian - Baptist,?,White,Male,?
Sollock,Conservative,?,in Women,?,?,?,Republican Party,Single,Agnostic,?,Other,?,?
bsh1,Liberal,?,?,?,?,?,Democratic Party,?,Agnostic,Associates Degree,?,Male,?
KNHAV,Conservative,?,?,"Friendship, Networking",?,?,Republican Party,Married,?,?,?,Female,?
aayushs96,Libertarian,"$25,000 to $35,000",in Women,?,?,Teacher,Republican Party,Single,Atheist,High School,East Indian,?,?
evanjfarrar,Progressive,?,?,?,?,Student,Democratic Party,?,Atheist,?,White,Male,?
BIGC,Conservative,?,?,?,?,Student,Republican Party,Single,Christian - Latter-Day Saints,High School,White,?,?
CK3137,Conservative,?,in Women,Friendship,?,?,Republican Party,Single,Christian - Lutheran,High School,White,?,?
16kadams,Conservative,?,?,?,?,?,Republican Party,?,?,Some College,Latino,Male,?
MrTechno,Conservative,Other,?,Friendship,?,Student,Republican Party,Single,Atheist,Other,Middle Eastern,?,?
tris10,Labor,?,?,?,?,?,Democratic Party,?,?,?,?,?,?
Maryland_Kid,Libertarian,?,in Women,"Friendship, Dating, A Relationship",?,Student,Republican Party,In a Relationship,Christian,Some College,White,Male,?
Cnavas,Conservative,?,?,?,?,?,Republican Party,?,Christian - Baptist,?,Latino,Male,?
TBR,Progressive,?,?,?,?,?,Democratic Party,Married,Atheist,?,White,Male,?
Matt_U,?,?,?,?,?,Student,Republican Party,?,?,?,?,?,?
Beagle_hugs,Other,?,?,?,?,?,Democratic Party,?,Atheist,Graduate Degree,?,Male,?
domfincrag,Socialist,?,in Women,?,?,?,Democratic Party,It's Complicated,Agnostic,?,Latino,Male,?
jo154676,Libertarian,"Less than $25,000",in Women,?,?,Student,Republican Party,It's Complicated,Atheist,High School,White,?,?
Cloud_heartbreaker,Socialist,"$25,000 to $35,000",in Men and Women,"Friendship, Dating, A Relationship, Networking",?,Student,Democratic Party,In a Relationship,Atheist,Associates Degree,Latino,?,?
garretthmck,Conservative,?,in Women,?,?,?,Republican Party,Single,Christian - Protestant,High School,White,Male,?
Cryssie,Undecided,?,in Men and Women,?,?,Other,Democratic Party,In an Open Relationship,Christian - Baptist,High School,Other,Female,?
VisualSimulator,?,?,?,?,?,Other,Democratic Party,?,Christian,?,White,?,?
Go4thegold,Progressive,Other,?,?,?,Student,Democratic Party,?,Secular,Some College,White,Male,?
funnyguy,Conservative,"Less than $25,000",?,?,?,Other,Republican Party,?,Christian - Baptist,?,White,?,?
rugbypro5,Conservative,?,in Women,?,?,Student,Republican Party,In a Relationship,Christian,High School,White,?,?
Circle_Craft,Liberal,?,?,?,?,?,Democratic Party,?,Atheist,?,White,Male,?
WSB,Liberal,?,?,?,?,?,Democratic Party,?,?,?,?,?,?
AkashM,?,?,?,?,?,?,Democratic Party,?,?,?,?,?,?
Americarnage,Conservative,?,?,?,?,?,Republican Party,?,Christian,?,?,?,?
DutchAmerican93,Progressive,?,?,?,?,Student,Democratic Party,?,Secular,Some College,White,Male,?
funnycn,Conservative,?,in Women,?,?,?,Republican Party,?,Christian,?,White,Male,?
andrewkletzien,Liberal,?,in Men,"Friendship, Networking", Private,Student,Democratic Party,Single,Atheist,Some College,White,?,?
NatetheGreat365,Liberal,?,?,?,?,?,Democratic Party,?,Jewish - Reform,?,?,Male,?
Mr.Regardless,Liberal,?,in Women,"Friendship, Networking",?,Student,Democratic Party,Single,Atheist,Other,Other,Male,?
SiriusTrekkie,Conservative,?,?,Friendship,?,?,Republican Party,?,Christian - Protestant,?,White,?,?
ItRemainsToBeSeen,Libertarian,?,?,?,?,Legal,Republican Party,?,Other,Graduate Degree,White,?,?
Welcome2JurassicPark,Conservative,?,?,?,?,?,Republican Party,?,Christian - Catholic,?,White,Male,?
FranticSemantics,Moderate,Other,?,?,?,Student,Democratic Party,?,Christian - Pentecostal,?,Latino,?,?
jzonda415,Conservative,"Less than $25,000",?,Friendship,?,?,Republican Party,In a Relationship,Christian - Protestant,Some College,White,Female,?
SecularMaverick,Libertarian,"Less than $25,000",in Women,Networking,?,Self-Employed,Republican Party,Single,Atheist,High School,White,Male,?
Zlehn,Moderate,?,?,?,?,?,Democratic Party,?,Christian - Catholic,High School,White,Male,?
Gaben11,Liberal,?,?,?,?,Student,Democratic Party,?,Atheist,?,White,?,?
Greematthew,Progressive,?,?,?,?,Student,Democratic Party,In a Relationship,Christian - Greek Orthodox,Some College,White,Male,?
eb101010,?,?,?,?,?,?,Democratic Party,?,?,?,?,?,?
TrevWatlington,Libertarian,?,?,?,?,?,Republican Party,?,?,?,?,Male,?
Agnosticgirl,Liberal,?,?,Networking,?,Student,Democratic Party,?,Agnostic,?,Other,Female,?
Rightwing15,Conservative,Other,in Women,?,?,Medical,Republican Party,In a Relationship,Christian,Some College,White,?,?
PepperButler,Libertarian,"Less than $25,000",in Women,?,?,Student,Democratic Party,?,Christian,High School,Latino,?,?
docpony,Conservative,?,?,?,?,?,Republican Party,?,Christian - Baptist,?,White,?,?
Sunfire315,Conservative,?,?,?,?,?,Republican Party,In a Relationship,Christian - Catholic,?,White,Male,?
WisdomOnline,Conservative,?,in Women,?,?,?,Republican Party,Single,Christian,?,White,Male,?
Petty102,Socialist,?,?,?,?,?,Democratic Party,?,?,?,?,?,?
MSCHULTZ1998,Conservative,?,in Women,?,?,Student,Republican Party,Single,Christian - Pentecostal,?,White,?,?
kimberly.turner794,Other,Other,in Men,"Friendship, Dating, A Relationship, Networking",?,Student,Republican Party,Single,Christian - Baptist,Some College,White,Female,?
Plubius,Liberal,"Less than $25,000",in Women,"Friendship, Dating, A Relationship",?,Student,Democratic Party,Single,Christian,High School,Asian,Male,8
OutofLeftField,Liberal,Other,in Women,?,?,Student,Democratic Party,In a Relationship,Other,High School,White,?,?
BA_BA_BA,Conservative,?,?,Friendship,?,?,Republican Party,Single,Christian - Catholic,?,?,Male,?
DebatingPerson911,?,?,in Women,Friendship, Private,?,Democratic Party,?,Christian - Presbytarian,?,?,?,?
juster04,Conservative,?,in Women,?,?,?,Republican Party,?,Agnostic,High School,White,?,?
Republican,Conservative,"More than $150,000",?,?,?,Military,Republican Party,?,Christian - Church of Christ,?,White,?,?
Chrisy,Liberal,?,in Men,?,?,Administrative,Democratic Party,It's Complicated,Christian - Catholic,Bachelors Degree,Other,?,?
BdUd3,?,?,?,?,?,?,Democratic Party,Single,Atheist,?,White,?,?
rphk123,Green,?,?,?,?,Student,Democratic Party,?,Agnostic,High School,White,?,?
MumfyandMagic,Other,?,?,?,?,?,Republican Party,?,?,High School,?,?,?
uoflcards22,Conservative,?,?,?,?,?,Republican Party,?,?,?,?,?,?
StarTrek,Conservative,?,in Women,?,?,?,Republican Party,It's Complicated,?,?,?,?,?
NewLifeChristian,Conservative,?,in Women,?,?,?,Republican Party,?,Christian,?,?,Male,?
AmericanSpirit,Other,Other,?,?,?,Other,Republican Party,?,Christian - Latter-Day Saints,?,Asian,?,?
Anon99,Conservative,?,in Men,"Friendship, Networking",?,?,Republican Party,Single,?,?,?,Female,?
Openmindedperson,Other,?,?,"Friendship, Networking",?,Student,Republican Party,?,Other,?,White,?,?
dannyb63,Conservative,?,?,?,?,?,Republican Party,?,?,?,?,?,?
Cogitatio-et-veritatis,Conservative,"$35,000 to $50,000",in Women,?,?,Military,Republican Party,Single,Christian - Baptist,High School,White,?,?
ChuckieH,Liberal,?,?,?,?,Student,Democratic Party,?,Christian - Catholic,?,White,?,?
devin.cooper64,?,Other,in Women,"Friendship, A Relationship, Networking",?,Other,Republican Party,Single,Christian - Latter-Day Saints,High School,White,?,?
Trina94,Liberal,?,?,?,?,?,Democratic Party,?,?,?,?,Female,?
WheezySquash8,Liberal,Other,?,Friendship,?,Student,Democratic Party,In a Relationship,Christian - Catholic,High School,White,Male,?
Zdog14,Moderate,?,?,?,?,?,Republican Party,?,?,?,White,?,?
HermanGomez95,Liberal,?,in Men,"Friendship, Networking",?,Student,Democratic Party,Single,?,Bachelors Degree,White,Male,?
Dumbo,Liberal,Other,?,Friendship,?,Teacher,Democratic Party,Other,?,?,?,?,28
Tallen24607,Conservative,?,in Women,Friendship,?,Student,Republican Party,?,Christian - Baptist,?,White,Male,?
jono.subz,Conservative,?,in Women,?,?,?,Republican Party,Single,Christian - Anglican,High School,White,Male,?
khu1225,Conservative,?,in Men,?,?,Student,Republican Party,?,Christian,?,White,?,?
Dr.Strangelove,Labor,?,in Women,?,?,?,Democratic Party,?,Christian - Anglican,High School,White,Male,?
GENPATTON10,Conservative,?,?,?,?,Student,Republican Party,?,Christian - Catholic,?,White,Male,?
mark.debate,Conservative,?,?,?,?,?,Republican Party,?,?,?,?,?,?
ThomasCK,Conservative,?,in Women,?,?,Other,Republican Party,Single,Christian - Latter-Day Saints,High School,White,?,?
njrutz42,Conservative,?,in Women,"Friendship, Dating, A Relationship, Networking",?,?,Republican Party,Single,?,?,?,?,?
enclave101,Liberal,?,in Women,?,?,Artist,Democratic Party,?,Atheist,High School,White,?,?
Surefoot,Moderate,?,?,?,?,Student,Republican Party,?,Christian - Latter-Day Saints,High School,White,Female,?
Bigshoe22,Conservative,?,in Women,?,?,Student,Republican Party,Single,Jewish,Other,White,?,?
Shadow-Dragon,Conservative,?,in Women,?,?,?,Republican Party,?,Christian - Catholic,?,?,Male,?
Rxan,Libertarian,?,in Women,A Relationship,?,Student,Republican Party,Single,Christian - Episcopalian,High School,White,?,?
BHW13,Conservative,?,in Women,?,?,?,Republican Party,?,Christian - Protestant,?,White,?,?
hardtimezone,Progressive,?,?,?,?,Government,Democratic Party,?,?,Bachelors Degree,White,?,?
BradWalsh,Conservative,"$25,000 to $35,000",?,?,?,Military,Republican Party,?,Christian - Catholic,High School,White,?,?
terraynemyricks,Progressive,?,in Women,?,?,Student,Democratic Party,In a Relationship,Atheist,Some College,Black,Male,?
Wylted,Libertarian,"$25,000 to $35,000",in Women,?,?,Retail,Republican Party,Engaged,Christian,Some College,White,Male,?
Logan94,?,?,?,?,?,?,Democratic Party,?,?,?,?,?,?
JohnSmith1,Liberal,?,in Women,?,?,?,Democratic Party,Single,Atheist,High School,White,?,?
Jzyehoshua,Conservative,?,?,?,?,Government,Republican Party,Married,Christian - Baptist,Associates Degree,Other,Male,?
meitme,Progressive,?,?,?,?,?,Democratic Party,?,?,?,?,?,?
blue_charles,Liberal,?,?,?,?,Student,Democratic Party,?,Atheist,?,White,?,?
frankfurter50,Liberal,?,?,?,?,?,Democratic Party,?,?,?,?,?,?
medv4380,Conservative,"$35,000 to $50,000",?,?,Michael DeVore,Technical,Democratic Party,Married,?,Associates Degree,White,Male,?
ThisIsMyUsername333,Conservative,?,?,?,?,Student,Republican Party,?,Christian,High School,Latino,Male,?
Isildari,Progressive,?,?,?,?,?,Democratic Party,?,?,?,?,Female,?
zachreitsma,Conservative,?,in Women,Dating,?,?,Republican Party,Single,Christian - Protestant,High School,White,Male,?
CynicalRepublican,Conservative,?,in Men,Friendship,?,Student,Republican Party,Single,Deism,High School,White,?,?
Notsimpleminded,?,?,?,?,?,?,Republican Party,?,Wikkan,?,White,?,?
andrew725,Liberal,?,?,?,?,Student,Democratic Party,?,Atheist,High School,?,?,?
markasoftware,Libertarian,?,?,?,?,?,Democratic Party,Single,Atheist,?,White,Male,?
Varrack,Moderate,?,?,?,?,Student,Republican Party,?,Deism,High School,?,Male,?
Debatequeen1,Conservative,?,in Men,?,?,Student,Republican Party,?,Christian - Catholic,High School,White,Female,?
sweetazgrey,?,?,in Men,Friendship,?,Student,Democratic Party,In a Relationship,Christian - Catholic,High School,Latino,Female,?
JacquesVancak,Conservative,?,?,?,?,?,Republican Party,?,Christian - Methodist,?,White,?,?
AA777,Liberal,?,in Women,?,?,?,Democratic Party,Single,Jewish - Conservative,?,White,?,?
IsabellaS,Conservative,?,in Men,?,?,Technical,Republican Party,Single,?,Bachelors Degree,White,?,?
castandwithrand,Libertarian,?,in Women,?,?,Medical,Republican Party,?,Atheist,High School,White,Male,?
Spmiller,Conservative,?,?,?,?,Student,Republican Party,?,Christian - Lutheran,?,White,?,?
DebaterAdmin,Conservative,?,?,?,?,?,Republican Party,?,Christian,?,?,?,?
Gatto_Gateaau,Conservative,?,in Women,"Friendship, Dating, A Relationship, Networking",?,?,Republican Party,Single,Christian - Catholic,?,White,?,?
hts,Conservative,"Less than $25,000",in Women,Networking,?,Student,Republican Party,Single,Christian - Catholic,High School,White,Male,?
grayger,?,?,?,?,?,Legal,Republican Party,?,Christian - Protestant,Graduate Degree,White,?,?
SMIA15,Libertarian,?,?,?,?,?,Republican Party,?,Christian,?,White,?,?
Aeroeagle,Liberal,?,?,?,?,?,Democratic Party,?,?,?,?,Male,?
Jenae.ross,?,?,?,?,?,?,Republican Party,?,Christian - Baptist,?,?,Female,?
Holdthepickle,Socialist,"$50,000 to $75,000",in Women,?,?,Other,Democratic Party,Single,Buddhist,Some College,White,Male,?
Hunts,Libertarian,?,in Women,?,?,?,Republican Party,Single,Christian,?,White,Male,?
TruthHurts,Progressive,?,?,?,?,?,Democratic Party,?,Atheist,?,?,?,?
MistyBlue,Liberal,?,?,?,?,?,Democratic Party,?,?,?,?,Female,?
alcarter,Conservative,?,in Women,?,?,?,Republican Party,Single,Agnostic,?,?,?,?
